Partido;Coalizao;Ano;flagCoalizao
PST;Collor 1;1990;0
PST;Collor 2;1990;0
PST;Collor 2;1991;0
PST;Collor 3;1991;0
PST;Collor 3;1992;0
PST;Collor 4;1992;0
PST;Itamar 1;1993;0
PST;Itamar 3;1994;0
PST;FHC II 1;1999;0
PST;FHC II 1;2000;0
PST;FHC II 1;2001;0
PST;FHC II 1;2002;0
PST;FHC II 2;2002;0
PST;Lula I 1;2003;0
PSTU;Itamar 1;1993;0
PSTU;Itamar 2;1993;0
PSTU;Itamar 3;1994;0
PSTU;FHC I 2;1997;0
PSTU;FHC I 2;1998;0
PSTU;FHC II 1;1999;0
PT;Sarney 2;1989;0
PT;Collor 1;1990;0
PT;Collor 2;1990;0
PT;Collor 2;1991;0
PT;Collor 3;1991;0
PT;Collor 3;1992;0
PT;Collor 4;1992;0
PT;Itamar 1;1993;0
PT;Itamar 2;1993;0
PT;Itamar 3;1994;0
PT;FHC I 1;1995;0
PT;FHC I 1;1996;0
PT;FHC I 2;1996;0
PT;FHC I 2;1997;0
PT;FHC I 2;1998;0
PT;FHC II 1;1999;0
PT;FHC II 1;2000;0
PT;FHC II 1;2001;0
PT;FHC II 1;2002;0
PT;FHC II 2;2002;0
PT;Lula I 1;2003;1
PT;Lula I 1;2004;1
PT;Lula I 2;2004;1
PT;Lula I 3;2005;1
PT;Lula I 5;2005;1
PT;Lula I 4;2005;1
PT;Lula I 5;2006;1
PT;Lula II 2;2007;1
PT;Lula II 1;2007;1
PT;Lula II 2;2008;1
PT;Lula II 2;2009;1
PT;Lula II 3;2009;1
PT;Lula II 3;2010;1
PT;Dilma 1;2011;1
PT;Dilma 1;2012;1
PT;Dilma 2;2012;1
PT;Dilma 2;2013;1
PT;Dilma 3;2013;1
PT;Dilma 3;2014;1
PT;Dilma II 2;2015;1
PT;Dilma II 1;2015;1
PTB;Sarney 2;1989;0
PTB;Collor 1;1990;0
PTB;Collor 2;1990;0
PTB;Collor 2;1991;0
PTB;Collor 3;1991;0
PTB;Collor 3;1992;0
PTB;Collor 4;1992;1
PTB;Itamar 1;1993;1
PTB;Itamar 2;1993;1
PTB;Itamar 3;1994;0
PTB;FHC I 1;1995;1
PTB;FHC I 1;1996;1
PTB;FHC I 2;1996;1
PTB;FHC I 2;1997;1
PTB;FHC I 2;1998;1
PTB;FHC II 1;1999;0
PTB;FHC II 1;2000;0
PTB;FHC II 1;2001;0
PTB;FHC II 1;2002;0
PTB;FHC II 2;2002;0
PTB;Lula I 1;2003;1
PTB;Lula I 1;2004;1
PTB;Lula I 2;2004;1
PTB;Lula I 3;2005;1
PTB;Lula I 5;2005;1
PTB;Lula I 4;2005;1
PTB;Lula I 5;2006;1
PTB;Lula II 1;2007;1
PTB;Lula II 2;2007;1
PTB;Lula II 2;2008;1
PTB;Lula II 2;2009;1
PTB;Lula II 3;2009;0
PTB;Lula II 3;2010;0
PTB;Dilma 1;2011;0
PTB;Dilma 1;2012;0
PTB;Dilma 2;2012;0
PTB;Dilma 2;2013;0
PTB;Dilma 3;2013;0
PTB;Dilma 3;2014;0
PTB;Dilma II 1;2015;1
PTB;Dilma II 2;2015;1
PTdoB;Collor 1;1990;0
PTdoB;Collor 2;1990;0
PTdoB;Collor 2;1991;0
PTdoB;Lula II 2;2007;0
PTdoB;Lula II 1;2007;0
PTdoB;Lula II 2;2008;0
PTdoB;Lula II 2;2009;0
PTdoB;Lula II 3;2009;0
PTdoB;Lula II 3;2010;0
PTdoB;Dilma 1;2011;0
PTdoB;Dilma 1;2012;0
PTdoB;Dilma 2;2012;0
PTdoB;Dilma 2;2013;0
PTdoB;Dilma 3;2013;0
PTdoB;Dilma 3;2014;0
PTdoB;Dilma II 1;2015;0
PTdoB;Dilma II 2;2015;0
PTN;FHC II 1;1999;0
PTN;FHC II 1;2000;0
PTN;FHC II 1;2001;0
PTN;FHC II 1;2002;0
PTN;FHC II 2;2002;0
PTN;Dilma II 2;2015;0
PTN;Dilma II 1;2015;0
PTR;Sarney 2;1989;0
PTR;Collor 2;1990;0
PTR;Collor 1;1990;0
PTR;Collor 2;1991;0
PTR;Collor 3;1991;0
PTR;Collor 3;1992;0
PTR;Collor 4;1992;0
PTR;Itamar 1;1993;0
PV;Collor 3;1991;0
